product_name,description,manufacturer
Koala Bear Soft Toy 20cm (RB440),"Quality soft, cute and cuddly koala soft toy by Dowman Soft Touch, measuring 20cm tall. All Dowman Soft Touch toys are designed by craftsmen and handmade with the highest quality materials exclusively for Dowman Imports Ltd. All Dowman Soft Touch soft toys are fairly traded with the peoples and countries of origin. All Dowman Soft Touch soft toys conform to all European safety standards EN71 BS5665.",Dowman
Plush Soft Toy White Lamb by Hansa. 18cm. 4562,Ref: 4562 Desc: White Lamb 18cm,Hansa
Zigamazoo Striped Cat Plush Toy (Pink),"Product Description Zigamazoos are really easy and simple to use. There are eight of these cuddly characters to collect. Simply pick one up and give it a squeeze to make it giggle. They never fail to bring on a smile and even better, no batteries are needed to enjoy a Zigama-giggle! - Fun, cute & collectable - Simple & easy to use - No batteries required - Suitable for ages 5 Box Contains 1 x Zigamazoo - Pink Stripped Cat",Zigamazoo
Keel Toys 30cm Dalmatian,"Product Description A Classic 30cm Lying Dalmatian. This delightfully soft cuddly toy dog is made using a very soft, tactile, dense white plush that your fingers just melt into. His wonderful black spots have been airbrushed into place. He has large round brown eyes and a moulded black nose. A loveable companion anyone would adore Box Contains 1 x 30cm Dalmatian",Keel Toys
"DESPICABLE ME 2 - Minion cuddly Soft Toy - Plush Figures Banana 28-33 cm, Minion Typ:Bob","Colour Name:Bob DESPICABLE ME 2 - Minion cuddly Soft Toy - Plush Figures BananaPlush characters to choose from:- Bob - Height: 30.0 cmor- Stuart - Height: 33.0 cmMaterial: 100% PolyesterFeatures: soft and cuddly plush, soft material Softwool-filled,3D Eye PlasticManufacturer's warnings:Please remove all packing material,sewn labels and their Fastenersbefore submitting the article to your child!Note texts and manufacturer datathe packaging, carefully remove for laterInspection on!",Disney
Manhattan Toy Lavish Lanky Cats Shadow Plush Toy,"Product Description Big, curious, yellow eyes standout on this lovable kitty. His under stuffed, extra long body makes him incredibly poseable. He's made out of a silky, soft fabric that begs to be petted. Manhattan Toy offers more than 500 exclusive, original product designs distributed and sold worldwide through specialty retail stores, catalogs and websites. All of our products, from the newest concepts to our time-tested classics, are innovatively designed to inspire imaginative play and delight our customers. Box Contains 1 x Manhattan Toy Lavish Lanky Cats Shadow",Manhattan Toy
Keel Toys 20 cm Chimp,"Product Description 20cm Chimpanzee. This delightful, cuddly soft toy chimp is made from a wonderfully soft, dense, fluffy black plush, which your fingers just melt into. A smooth light brown plush has been used for his ears, face, hands and feet. His hands and feet have stitch detail, creating digits. His sweet face has lidded brown eyes with black nostrils and stitch mouth. A great cuddle buddy! His lower half is filled with beans in order to retain that lovely squidgy, soft feel we all love. Box Contains 1 x 20cm Chimp",Keel Toys
"Pokemon Deoxys 15cm/6"" Soft Plush Doll Toy #386","Item: This is ONE Pokemon Deoxys Soft Plush Doll Toy ONLY. Cute for Collection ! Condition: Brand New Material: Cotton Size : approx. 15cm=6""(H)",Generic
17 Inch Walter Plush - The Muppets Plush Toys,"Measures Aprox 17 Inches TallMade of Polyester Fiber, Plastic Pellets, and Plastic StiffenerDisney Authentic",Disney
Plush Soft Toy Elephant by Ravensden from The Suma Collection. 19cm. FRS016E,"A soft and cuddly elephant made from a soft plush fabric and would be ideal for children of any age. It is softly stuffed so ideal for cuddles and is approx. 7.5"" (19cm) high.",Ravensden
